PriorityRank,customerID,ChurnProbability,RiskTier,CustomerSegment,tenure,MonthlyCharges,Contract,PaymentMethod,InternetService,TechSupport,LifecycleStage,SharedDriver,CustomerValue,RevenueAtRisk,ExpectedSavedRevenue,CampaignCost,ExpectedNetBenefit,DominantRiskDriver,SecondaryLever,RecommendedRetentionAction
140,5168-MSWXT,0.7036,High Risk,New High-Spend,8,94.75,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1137.0,799.9932,239.99795999999998,15.0,224.99795999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
141,7295-JOMMD,0.6793,High Risk,New High-Spend,4,98.1,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1177.1999999999998,799.6719599999999,239.90158799999995,15.0,224.90158799999995,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
142,3473-XIIIT,0.666,High Risk,New High-Spend,16,100.0,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1200.0,799.2,239.76,15.0,224.76,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
143,3629-ZNKXA,0.6535,High Risk,New High-Spend,17,101.8,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1221.6,798.3155999999999,239.49467999999996,15.0,224.49467999999996,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
144,3387-VATUS,0.7007,High Risk,New High-Spend,5,94.85,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1138.1999999999998,797.5367399999999,239.26102199999997,15.0,224.26102199999997,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
145,4597-NUCQV,0.656,High Risk,New High-Spend,24,101.25,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1215.0,797.0400000000001,239.11200000000002,15.0,224.11200000000002,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
146,3722-WPXTK,0.7511,High Risk,New High-Spend,1,88.35,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1060.1999999999998,796.3162199999998,238.89486599999992,15.0,223.89486599999992,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
147,2462-XIIJB,0.7167,High Risk,New High-Spend,5,92.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1110.0,795.537,238.6611,15.0,223.6611,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
148,4626-GYCZP,0.7061,High Risk,New High-Spend,7,93.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1126.1999999999998,795.2098199999998,238.56294599999993,15.0,223.56294599999993,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
149,8118-TJAFG,0.6509,High Risk,New High-Spend,9,101.5,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1218.0,792.7962,237.83885999999998,15.0,222.83885999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
150,3643-AHCFP,0.691,High Risk,New High-Spend,7,95.6,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1147.1999999999998,792.7151999999999,237.81455999999994,15.0,222.81455999999994,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
151,1567-DSCIC,0.7027,High Risk,New High-Spend,8,94.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1128.0,792.6456,237.79367999999997,15.0,222.79367999999997,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
152,6892-EZDTG,0.7204,High Risk,New High-Spend,4,91.65,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1099.8000000000002,792.2959200000001,237.68877600000002,15.0,222.68877600000002,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
153,8245-UMPYT,0.6843,High Risk,New High-Spend,16,96.4,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1156.8000000000002,791.5982400000001,237.47947200000004,15.0,222.47947200000004,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
154,5797-APWZC,0.7279,High Risk,New High-Spend,1,90.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1087.1999999999998,791.3728799999999,237.41186399999995,15.0,222.41186399999995,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
155,7294-TMAOP,0.7279,High Risk,New High-Spend,1,90.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1086.6,790.9361399999999,237.28084199999995,15.0,222.28084199999995,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
156,9734-YWGEX,0.6703,High Risk,New High-Spend,9,98.3,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1179.6,790.68588,237.205764,15.0,222.205764,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
157,4927-WWOOZ,0.7201,High Risk,New High-Spend,2,91.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1097.4,790.23774,237.071322,15.0,222.071322,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
158,2645-QTLMB,0.6983,High Risk,New High-Spend,7,94.25,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1131.0,789.7773000000001,236.93319000000002,15.0,221.93319000000002,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
159,0325-XBFAC,0.6942,High Risk,New High-Spend,8,94.7,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1136.4,788.8888800000001,236.66666400000003,15.0,221.66666400000003,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
160,0094-OIFMO,0.692,High Risk,New High-Spend,11,95.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1140.0,788.88,236.664,15.0,221.664,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
161,1960-UYCNN,0.69,High Risk,New High-Spend,10,95.25,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1143.0,788.67,236.60099999999997,15.0,221.60099999999997,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
162,5883-GTGVD,0.6575,High Risk,New High-Spend,19,99.95,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1199.4,788.6055,236.58165,15.0,221.58165,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
163,3045-XETSH,0.6926,High Risk,New High-Spend,10,94.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1138.1999999999998,788.3173199999999,236.49519599999996,15.0,221.49519599999996,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
164,8443-WVPSS,0.6577,High Risk,New High-Spend,10,99.85,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1198.1999999999998,788.0561399999998,236.41684199999992,15.0,221.41684199999992,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
165,7209-JCUDS,0.6909,High Risk,New High-Spend,10,94.9,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1138.8000000000002,786.7969200000001,236.03907600000002,15.0,221.03907600000002,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
166,3320-VEOYC,0.6854,High Risk,New High-Spend,14,95.6,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1147.1999999999998,786.2908799999999,235.88726399999996,15.0,220.88726399999996,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
167,4826-XTSOH,0.7606,High Risk,New High-Spend,1,86.05,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1032.6,785.3955599999999,235.61866799999996,15.0,220.61866799999996,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
168,4695-WJZUE,0.7383,High Risk,New High-Spend,2,88.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1062.6,784.5175799999998,235.35527399999995,15.0,220.35527399999995,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
169,6956-SMUCM,0.66,High Risk,New High-Spend,3,99.0,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1188.0,784.08,235.224,15.0,220.224,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
170,8603-IJWDN,0.754,High Risk,New High-Spend,1,86.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1039.1999999999998,783.5567999999998,235.06703999999993,15.0,220.06703999999993,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
171,7330-WZLNC,0.7188,High Risk,New High-Spend,5,90.8,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1089.6,783.2044799999999,234.96134399999994,15.0,219.96134399999994,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
172,8414-MYSHR,0.7134,High Risk,New High-Spend,5,91.4,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1096.8000000000002,782.4571200000001,234.73713600000002,15.0,219.73713600000002,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
173,5192-EBGOV,0.7607,High Risk,New High-Spend,1,85.7,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1028.4,782.3038800000002,234.69116400000004,15.0,219.69116400000004,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
174,2929-ERCFZ,0.6903,High Risk,New High-Spend,8,94.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1130.4,780.3151200000001,234.094536,15.0,219.094536,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
175,1624-NALOJ,0.7228,High Risk,New High-Spend,5,89.8,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1077.6,778.88928,233.66678399999998,15.0,218.66678399999998,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
176,5519-NPHVG,0.6874,High Risk,New High-Spend,12,94.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1130.4,777.03696,233.111088,15.0,218.111088,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
177,2180-DXNEG,0.6741,High Risk,New High-Spend,12,96.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1152.0,776.5632,232.96896,15.0,217.96896,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
178,4145-UQXUQ,0.7022,High Risk,New High-Spend,8,92.1,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1105.1999999999998,776.0714399999999,232.82143199999996,15.0,217.82143199999996,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
179,4566-NECEV,0.6694,High Risk,New High-Spend,5,96.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1158.6,775.56684,232.67005199999997,15.0,217.67005199999997,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
180,1069-XAIEM,0.7599,High Risk,New High-Spend,1,85.05,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1020.5999999999999,775.5539399999999,232.66618199999996,15.0,217.66618199999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
181,3318-NMQXL,0.7019,High Risk,New High-Spend,3,92.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1104.0,774.8976,232.46928,15.0,217.46928,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
182,1273-MTETI,0.7258,High Risk,New High-Spend,4,88.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1066.1999999999998,773.8479599999998,232.15438799999993,15.0,217.15438799999993,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
183,4844-JJWUY,0.7497,High Risk,New High-Spend,1,86.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1032.0,773.6904000000001,232.10712,15.0,217.10712,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
184,7398-SKNQZ,0.679,High Risk,New High-Spend,3,94.9,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1138.8000000000002,773.2452000000002,231.97356000000005,15.0,216.97356000000005,Service quality,Engagement and bundling,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
185,3217-FZDMN,0.6805,High Risk,New High-Spend,8,94.45,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1133.4,771.2787000000001,231.38361,15.0,216.38361,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
186,4228-ZGYUW,0.7125,High Risk,New High-Spend,4,90.05,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1080.6,769.9275,230.97825,15.0,215.97825,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
187,2034-GDRCN,0.7097,High Risk,New High-Spend,2,90.4,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1084.8000000000002,769.8825600000001,230.96476800000002,15.0,215.96476800000002,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
188,5649-ANRML,0.6742,High Risk,New High-Spend,2,95.1,Month-to-month,Credit card (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1141.1999999999998,769.39704,230.81911199999996,15.0,215.81911199999996,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
189,6328-ZPBGN,0.6738,High Risk,New High-Spend,11,95.15,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1141.8000000000002,769.3448400000001,230.80345200000002,15.0,215.80345200000002,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
190,9282-IZGQK,0.7538,High Risk,New High-Spend,1,85.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1020.0,768.876,230.66279999999998,15.0,215.66279999999998,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
191,5597-GLBUC,0.7495,High Risk,New High-Spend,1,85.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1025.4,768.5373000000001,230.56119,15.0,215.56119,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
192,6230-BSUXY,0.7533,High Risk,New High-Spend,1,85.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1020.0,768.366,230.50979999999998,15.0,215.50979999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
193,0306-JAELE,0.6662,High Risk,New High-Spend,5,96.1,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1153.1999999999998,768.2618399999999,230.47855199999995,15.0,215.47855199999995,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
194,2865-TCHJW,0.7174,High Risk,New High-Spend,4,89.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1070.4,767.9049600000001,230.37148800000003,15.0,215.37148800000003,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
195,3398-FSHON,0.7002,High Risk,New High-Spend,12,91.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1095.6,767.1391199999999,230.14173599999998,15.0,215.14173599999998,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
196,0236-HFWSV,0.6845,High Risk,New High-Spend,15,93.35,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1120.1999999999998,766.7768999999998,230.03306999999995,15.0,215.03306999999995,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
197,4912-PIGUY,0.7551,High Risk,New High-Spend,1,84.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1015.1999999999999,766.5775199999999,229.97325599999996,15.0,214.97325599999996,Billing and payment,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
198,1724-BQUHA,0.7119,High Risk,New High-Spend,5,89.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1074.0,764.5806,229.37418,15.0,214.37418,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
199,8087-LGYHQ,0.6774,High Risk,New High-Spend,9,94.05,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1128.6,764.5136399999999,229.35409199999995,15.0,214.35409199999995,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
200,7969-AULMZ,0.6537,High Risk,New High-Spend,21,97.35,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1168.1999999999998,763.6523399999999,229.09570199999996,15.0,214.09570199999996,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
201,6821-BUXUX,0.6582,High Risk,New High-Spend,13,96.65,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1159.8000000000002,763.3803600000001,229.01410800000002,15.0,214.01410800000002,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
202,5698-BQJOH,0.6737,High Risk,New High-Spend,9,94.4,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1132.8000000000002,763.16736,228.950208,15.0,213.950208,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
203,5935-FCCNB,0.6749,High Risk,New High-Spend,17,94.2,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1130.4,762.9069600000001,228.87208800000005,15.0,213.87208800000005,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
204,2984-AFWNC,0.6663,High Risk,New High-Spend,3,95.4,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1144.8000000000002,762.7802400000002,228.83407200000005,15.0,213.83407200000005,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
205,2202-CUYXZ,0.7491,High Risk,New High-Spend,1,84.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1018.1999999999999,762.73362,228.82008599999998,15.0,213.82008599999998,Billing and payment,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
206,5349-IECLD,0.669,High Risk,New High-Spend,2,94.95,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1139.4,762.2586000000001,228.67758000000003,15.0,213.67758000000003,Service quality,Protection and support,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
207,7218-HKQFK,0.6743,High Risk,New High-Spend,2,94.2,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1130.4,762.2287200000001,228.66861600000001,15.0,213.66861600000001,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
208,3462-BJQQA,0.7077,High Risk,New High-Spend,6,89.75,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1077.0,762.1929,228.65787,15.0,213.65787,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
209,6969-MVBAI,0.7046,High Risk,New High-Spend,9,90.1,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1081.1999999999998,761.8135199999999,228.54405599999998,15.0,213.54405599999998,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
210,9025-AOMKI,0.6783,High Risk,New High-Spend,6,93.55,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1122.6,761.45958,228.437874,15.0,213.437874,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
211,5277-ZLOOR,0.74,High Risk,New High-Spend,2,85.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1026.6,759.684,227.90519999999998,15.0,212.90519999999998,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
212,4951-UKAAQ,0.7116,High Risk,New High-Spend,4,88.95,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1067.4,759.5618400000001,227.86855200000002,15.0,212.86855200000002,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
213,3186-BAXNB,0.6894,High Risk,New High-Spend,1,91.7,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1100.4,758.61576,227.584728,15.0,212.584728,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
214,1389-CXMLU,0.6933,High Risk,New High-Spend,3,91.05,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1092.6,757.4995799999999,227.24987399999998,15.0,212.24987399999998,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
215,4847-TAJYI,0.7063,High Risk,New High-Spend,6,89.35,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1072.1999999999998,757.2948599999999,227.18845799999994,15.0,212.18845799999994,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
216,1628-BIZYP,0.7422,High Risk,New High-Spend,1,85.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1020.0,757.044,227.11319999999998,15.0,212.11319999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
217,1731-TVIUK,0.6747,High Risk,New High-Spend,4,93.5,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1122.0,757.0133999999999,227.10401999999996,15.0,212.10401999999996,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
218,8413-VONUO,0.6588,High Risk,New High-Spend,2,95.65,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1147.8000000000002,756.1706400000002,226.85119200000005,15.0,211.85119200000005,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
219,4060-LDNLU,0.6549,High Risk,New High-Spend,7,96.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1154.4,756.0165600000001,226.80496800000003,15.0,211.80496800000003,Service quality,Engagement and bundling,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
220,1658-BYGOY,0.6594,High Risk,New High-Spend,18,95.45,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1145.4,755.2767600000001,226.583028,15.0,211.583028,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
221,0259-GBZSH,0.7338,High Risk,New High-Spend,2,85.65,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1027.8000000000002,754.1996400000002,226.25989200000004,15.0,211.25989200000004,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
222,8337-UPOAQ,0.6991,High Risk,New High-Spend,10,89.8,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1077.6,753.35016,226.005048,15.0,211.005048,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
223,9124-LHCJQ,0.7344,High Risk,New High-Spend,1,85.45,Month-to-month,Mailed check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1025.4,753.0537600000001,225.91612800000004,15.0,210.91612800000004,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
